filename,extracted_text,invoice_number,total_amount,error
516921261+-1265.tif,"DATE: April 19, 1996
ACCOUNT: Sports Marketing Enterprises
Post Office Box 484
PRODUCT: ,
DESCRIPTION:

 

Production and Promotion assistance for Camel Pro Billiards Series Newslétter.......$2000.00
AMOUNT DUE: $2000.00

PAYABLE TO: Pro Billiards Tour
10579 Hearth Road
‘Spring Hill, Florida 34608-3700

DATE DUE: Upon Receipt
REDENEDBY ""
ASTHORIN oe
— .
commer BADD Ee
SY ace ore 33 014 088 ~
Or resrroenmncone_0/ OF T3761 ee

‘ome 10050262. _—

Kae

DVDR ggeerner en = : .

P.O. Box 5599 « Spring Hill, Florida 34606 + (904) 688-5837 » Fax (904) 686-551!

 

 

&
5",,,
ti01410925.tif,"Samora
Ee castes
Sia Maras oa nls we EO
ceunyeutis.
venened
=gumene
sey

‘syouna sveoLJono seuojesn owl) eu]

“pi wen fa oe
(iyo smgoa sin) pesopue 042 ng]

 

 

 

Ez LES ‘ZS
san 95°66
Ad 1303 NO STEVAY Lg Lee‘zs
“u3quo a5 wiound
“uBennN wanoLsno
‘Treas
‘uzennw 290M vest ORL SHE WRENN GEOL N TOA MAN wOLXON OL

€6/T/¥

“ONT “OD SNOTIVITIANG SASTHENVAING FATINDIG €

 

710141-0925",,,
89001582.tif,"TEGERIS LABORATORIES, INC.
5060 Beech Place, Temple Hills, Md. 20748) (901) 899.3596
(Formerly: Borriston Laboratories, Inc.)

* INVOICE *
January 31, 1985
Lorillard Inc.
420 English Street
Greensboro, North Carolina 27405
Attention: Dr. Connie Stone

Reference: Gyschase Ordee Na, 045-4

TL Reference: 0:
Invoice No.: 7031-1

DESCRIPTION AMOUNT

in BEC3FL Mice with A-84 and A-157

Ok Ady

* REMITTANCE ADDRESS *
TEGERTS LABORATORIES, INC.
5050 Beech Place
Temple Hills, MO 20745

* INVOICE *

- 06- ¢
9596
AceF 4101

28STo06s",No,,
1000047784_1000047785.tif,"5.5% MWSt. enthalten, 21""
Krankenkarse, Baruligoncstenschat brw,

  
        

CSE

bezevoo0004",,,
2028724535.tif,"127M Sen
ALIBI CPE FAX. W2/701 A177

Aue Wlogr LaatctMratie

 

ROUIPEMENT DE ,
+ PRULECTION ET DE SECURE
VEILIGIEIDSMATERIAAL BN
ESCHTIAMINOSUITRUFTING

SAFETY
ca wun 45, AB gz 42 4s
cRCE

  

LT] ac arreren 06 rma VAES
faaw! 251209

Wu Ret.

NO Ref
1950 KRAAINEM (Bt) lelde 16-04-92.

Measieur,

Nous vous remercions ists sincdrament de vere extimée demande, et nous nons
empressons devour remettre notre meillcure offre, ci-dessous

IE vote,

Secteur -

  

Mijne Heren,
We dunken U ten 2eerste voor uw goachte annvruag cn we beljveren ons UJ hicronder
‘ons beste aanbod te zanden :
Sector

Moogachtend,

Gaurs Dexnnew 4 LATOR WO) S7ERNE, POUORE, BolT DL .A80 FANTS,

 

sau wf 8356 I
map wf 895% TZ

cance of Ba532 :
Prin 6 10K oe cowrs. of .
~ Od oo
vores Rarvse s 2S, aosoume. : :
2000 Faans(20 Beira) AOR Tae,

4 conomonensn? cuninun pluswe

Obtar-: A Semmes save vbire, ;
- {ee

    

Sesbezszor",,,
0001216071.tif,"MARKET FACTS, Inc.

icag, tines

 

G00 Wost FAI Strect
Lodiarilie, Kentucky 40202 "" Sept. 14, 1978
vteuttis TST

we oe

. —_—

Valdentifled own vas tastes sceeverereceeee) H6,$0000

a brite Sew Pradlact [veryprnere
SIS Jo 0%

Che gcae",,,
86087206_7207.tif,"“ Bozell Worldwide, Inc.

40 wast 23mD STREET
BW YORK, MY 10020-5202

@ rice ser snss/00 ravoace we-ovesas
Ears Fant/os mare
curmer go,_wonttnu como commie toarzano 2o8hcc0 conn me
SiSovee ore. Saunt Ono vison nos {ou Roca saevavnson ne
Jorn ese tv anateneeca Ad baat VEY HE, 2 Se
isch aSoas Gesecgono ne ees

Ws meres wy Taveice Rat

 

won-Commissionable Charges 5,000.00
comissionable charges 0.00
agency Commission 0.00

invoice Amount
[UBASE PAY ‘THIS AMOUNT 3,000.00

 

Previously Biiied oie Resit To

30. Box 198261

fre

90228098

ORIGINAL",Amount,,
2072484182.tif,"~ ps SHIPMENT DETAZL ~ hee
< PRESS. Facet
THWOICE DATE _[CUBTORER WORDED a NE] |
1705796 4615270 w7iseseo | 1720/96
sure DL BLAIR Nez
1548 FRONT ST
BLATR NE 68008
TaRBELL wonmeR | cusTonER wonBER ‘eusronee nanan Tee AT | che GunoEs |] ToraL arour
orem best” | Sewer necenven sree. | Tyre
Star pave Seren
vou creas | sewr oy oe. er
Descezrrion | REreRENCE wwe arrewrion peta
ecenveD oy
accounrzws covrmot | AeSouNTaNG conrroL.
sazocoeass woasare Ne [or
joven fo suas Joavio cunteseunze norsss| ""3 [orn
ierace ssa tron st Po sox 2ecea ts
senoce xerox
Wvacsven? ass
owe
[poperxowst suxmner mromaTaON
Jort-Aooness connecraon ree 8.00

 

 

 

 

 

 

 

 

8
Sg
x
&
=
a
8",,,
00921994.tif,"fe 2 PLEASE EEN 10 OURINVOICE

 

 

  

 

 

   

 

 

 

 

 

 

  

    

 

 

 

 

 

 

 

 

 

 

 

   

ee 2 3 NUMBER OH ALL: PAYMENTS AND
: SG MICROBIOLOGICAL. sree RON ae 2 > == Gonnesponoeuce >
: HESDA, MARYLAND 2081 * : cae
4 ASSOCIATES * ‘TELEPHONE: (301) 654-3400 - -
‘Aueot Uyak * TELEX 90-8793 i
. - SHIPPED TO z 2 f
: LORILLARD RESEARCH CENTER 1307280
SATEUE Otc HABGY. HIUHERCYER 2
bar eusednbe NORTH CAROLINA = s ”
aT422 - :
2S Socess : 2 Moyer
PAYRENT TERS NET 32 DAYS Le invorceoate-—-Usn2e4 =
$x = =o my
‘CUSTOMER NUMBER. SaRiouen ro mmm = Cstro-oaTe [UATE SPRED | PACG SUENO
MRL be eg aripe eo =
g32 07 2001 Beh RSL “off te] pragooe
Ghar MEAS | PRODUIT. = ONT PRICE
act THE . : [9ryesel 7912.03
EACH TAH - B295c 00] B29S— 0
310-4 7
3 (aphiee
fel ty
- S
: > 3
2
a N
a
Z
: 1 -
= aes ye
NETAMOUNT FREGHT CHARGES. RATE TAK “AMOUNT FAL AMOUNT
1602 56696 cepa 278 | 20% C16 92468 005)
SOA SSEE Sse ORGIIAL INVOICE ee
ee - (Remar wes cunmency OH)

     

Dh ERTS A Se
SEL: Sad ox: arate see",ee,,
2001211386.tif,"invoice No. 1032
1 tf | Fecomationt Research and Decopment Corporation .

De. T. S. 08
Director of

 

 

BA J ante come ne /

 

    
 

Post Office Box 26583
Richmond, Virginia 23261

October 1, 1979

   
   

lems. pavaste uron receipt

 
  
   

‘Two-Year Dietary Toxtetty Study in Rate with P77+1

Charges for the Fifteenth Month of Study - $7,291.67

Certified Feed charges = *_170‘00 |
Total charges 97,461.67

$7,461.67

 

g8eTtzrooe",No,,
CTRCONTRACTS001136-1.tif,"BH Mason RESEARCH INSTITUTE

an yeaca company

ea

=s= =.

31 Mareh 1972

‘The Counell for Tobacco Research, U.S.A.

110 East 59th Street
New York, N.Y. 10022

Biological Evaluation of Smoking Machines ~ Further Modifications and Testing:

Charges During the Period 1 March ~ 31 March 1972
INVOICE NO. 4

 

    

 

 

 

 

 

(1) Supplies

Laboratery Supplies 786.38 Total: $ 786.53
@) Direct Labor

Project Monoger (H. Rotenizantz, Ph. 293.70

‘Analytical Chemist (M. Hagoplan, Ph 1,423.07

‘Analytical Cherlst (D. Prasad, Ph. ‘479.02

Laboratory Techniclans 622.15 totals $2,817.94
(3) Overhead (100% of (2) above) Totals $2,817.94
(4) Total (1) 2) and (3) obove Total: $6,422.41
(5) GBA(12% of (#) above) Totals $770.69
(8) Toral (1) (2) (8) (4) ond (5) Totals $7,193.10
7) Fae (0%) Total: $ $75.44
(@) Total Amount Cistmed jiovs Teh 97.760. 54

Services in Biomedical Research and Development

CTR CONTRACTS 001136

11220853
41220853",NO,,
ti10161636.tif,"10378 Democracy Lane
Rada, VA 22030
(7p 352-0102

Tek (7035 392-0151

‘oa ing:
Y20E Penney! varia. Avenue, NW.
Washington, D.C. - 20044

 

‘Your Ref: Mr. John Rupp

  

 

|
Novenber Services |

To the services rendered by HBI, Inc. as consuitents to the
Tobadeo Institute during the month of November 1992.

 

 

|
Total price now due for payment... ees eee $29,000
if For HBI Ine.
‘Gray Gober tson |
ai
_——_.§ a4,000 | $5000
. | Speuol aus
“ye Kay Rare |
1302/70! |
19-7 49%

 

 

 

 

TI1016-1636",,,
87147424.tif,"ARGUS RESEARCH LABORATORIES, INC.

935 Horsham Road
Horsham. Feunsylvania 19044
(2151 343-8710

 

March 1, 1987

DR. THOMAS A. VOLLMUTH, Ph.D.
TOXICOLOGIST

LORILLARD RESEARCH CENTER

420 ENGLISH STREET

GREENSBORO, NORTH CAROLINA 27405

STUDY NUMBER: 412-002

STUDY TITLE: DEVELOPMENTAL TOXICITY (EMBRYO/FETAL
TOXICITY AND TERATOGENIC POTENTIAL STUDY
OF D7 ADMINISTERED ORALLY VIA GAVAGE TO
CrliCOBS®CD®(SD)BR PRESUMED PREGNANT RATS

 

INVOICE NO: 1061

PURCHASE ORDER NO: 036A

 

TOTAL PAYMENT DUE: $ 8,500.00 |

PAYMENT DUE ON: April 03, 1987

PLEASE SEND REMITTANCE TO: ARGUS RESEARCH LABORATORIES, INC.
905 SHEEHY DRIVE
HORSHAM, PA 19044

THANK YOU.

 

VZbLETLS",NO,,
2070424042.tif,"Phone Area Code 404
‘922-7620

No. 2963

"" May 10,1979

 

 

ip Morris, U.S.A.
100 Park ave.
New York, W.Y. 10017

 

 

 

 

 

 

[atts mr. Vincent J. weiner 4
aauance row usr starcuenr ———y |S
# 241! ——
1979 Atlanta Braves Scorebook Ad 10,000.00
lass 15% Commission (2,500.00)
fore {8 _ 6,500.00

 

"" Thank You Pied

SR SRR EMRE TA tte nae eh RET ERIC RAR TONE RH

        

@rorzv0l0z",,,
2001225834_2001225835.tif,"arora naoreaaacs —— SG —

Vertragsforschung
Kaufmannische Verwaltung

Teen 92200 0-1
Tere

 

 

 

 

RT TR TET TET SSE
Saran
FNBRIQUES DE TABKC REUNIES 8. A. Ee
Pe. bor tt =e
CH-2009 Neve ay Fee 2 EP
SWITZERLAND homoved fr Cy bere
my RIV Seen xB6/10H, BH55a2
yor mine"" Q508/sostestts
agnor Bonde Kin gan. 30,1987

RECHNUNG Ne: 97006

Watsons
‘Zeng ae amen

 

Se: Research work January 1987

3057 Lavage of FLC in Rats

3063 PAH Determination in Condensate

3068 10th Skin Painting, Mouse (PT)

3073 11th Skin Painting, Mouse

3091 Purification of ODC from Rat Liver

3100 General Activities and Expenses

3111 80-Week Dermal Application of Hainstream

3114 21-Day Inhalation Study with Mainstream

3115 80-Week Dermal Application of Kainstrean

3118 Mutagenicity of Tea Infusions on Salmonella

3120 Tumorigenicity of Mainstream

3122 Tumorigenicity of Mainstrean whole Smoke

3123 Comparative 21-Day Inhalation Study

3124 3-Day Inhalation Study with Sidestrean

3125 Comparative 21-Day Inhalation Study

3126 3-Day Inhalation study with Nicotine

3127 Comparative 90-Day Inhalation Study

3128 Determination of Tobacco-Speci fic
N-Nitrosamimes in Tobacco Pillers

5001 Assessment of Pulmonary Function in Rats

3022 Determination of Nitrate and Nitrite

3043 Inprovenent of the Established ELISA

5044 Natural Killer-Cell Activity

5060 Headspace Analysis of Dry Condensate

5070 Flow Cytometric Analysis

5075 Establishment of an in vitro DNA adduct

 

   

carry over 877.038,-—

Zaher 1 Tage ne Ag ELANCE US ey

pesse2to0g",,,
2072484129.tif,"'TNVOTCE DATE [CUSTOMER NUMBER Bre weet ner ee ae] |
3/01/96 415270 7812593 | 3/16/96
sue: DL BLATR Nez
1548 FRONT ST
BLATR NE 68008
TATRBILL MNBER | CUSTOMER NUMBER CUSTOMER HUMBER rec at | ce cuarces |] Torat anounr
oeremn /'pest™ | SENDER RECEIVER arcs | TPE
‘SKIP DATE. werour
you ove as | senr ay cus wor]
DESCRIPTION | REFERENCE NUMBER ATTENTION ‘SCALE 8]
RECEIVED BY
ACCOUNTING CONTROL, {ACCOUNTING CONTROL
3850494556 015270 Woz exe 9.03
oma 7 ‘sew bu BLArR lurave vara sve 2
2722/96 see FRONT st 7229 OLDE SALEM CIRCLE a
[Sennen BLATR [aanoveR PARK
eae Ir. soues a9
402-426-4701 foams HENER
|s757 Je rte $9.00
‘a50090556 a1s270 ez pe ler 9.00
Jonk 7 seu pu Bare Jucrave oaTa sve 1
2722/96 fisee FRONT st 17229 OLDE SALEM CIRCLE «
SENDER lauare, JwANOvER PARK
Ine ca008 Inu soues a9
402-426-4701 para HENER
ls757 je ntuan

 

 

 

 

 

 

 

 

 

6ZLbarzloz",,,
92228579.tif,"Metropolitan Sunday ewspapers, Inc.

P.0. BOX 8188 CHURCH STREET STATION « NEW YORK, N. ¥. 10048 (212) 689-8200

 

 

pace 4
LoeWS INC. LORILLARO Orv TRUE cromeetTes
conrRActN®. — saane0
neVOCE HO cosa 60731
Lonieraro COMPANY oses DATE oye 1zrOATBE ono
666 FIFTH AVERUE TERNS NET: OUE 42-22-86
New vore New YORE 10019
AUT MS EEFTY EPPERSON sunoay
NEWSPAPERS. ne messace| DATE ee ec
END OF CONTRACT ADSUSTHENT| srizve6| rHRu 14730786 |
cross acenty Nev ASH oTsC ner
onDERED 60702603, s60.765-50 | 200 466.765+50
emtLeo Shes702-03 605705250 | Tea Sserres50
EneKeD shocasesze seakencee | toe aealaansre
REOATE 732656.59 2octa3e 70 | Teo 2ovtass76
|
creorr 20514347668

62982226",,,
2028740044_2028740045.tif,"‘
“

da oyuaaa

/

_vorece 2
scr-ez : 1

‘ea
seeo*see*sey 3a t

TUN omc

vert
“BMNIOM-SNAABLS-1NIS ZEST
2 TOT NYY TIOL

MBLNZO HOWVESTY LOVNINOD Vand NYY

66) °835°6 0
Ni-diva

LaF a ETE

2028740044

0a3iIHA 030)

BNIACTYHISKO

€6°€O""ZO 1 WNLvaTWAURA
e6t@te § Biva “Lvs

eez""ec6 = NNW

Zi-L16RESI-008 Yd
CHUN © :
SEBOIAN-LIS OS

vT¥-ZTy OIMNIALSASUMINY

ie'ee-ezriee

141H-0341A-0104
“ACN SITSENHOS",,,
2043807099.tif,"LANDOR ASSOCIATES

DDosigrers ane cersuitents oe maretra une communeations

 

 

   

 

INVOICE
Invoice No, 10878
Dae 31 OCTOBER 1996
Project NO. 5s oxo.
qo PHILIP HOKRYS INCORE.
0 PARK AVENUE
NEW YORK, Nes 10017

 

 

ATINGMR FRED DEL! A CROSSE

TONAL &
LOPNED

RENUGRED IN CONNECTION WITH

  

ORCL DESIGN, PHASE T

   

EURGET! $3,500 +0R- NTATEO

  

       

NOTE: eoRtTE

UPON

Nal GUT:

FOF SUPPLIFI

OF POCKET

XPENSI
TNVOTE

 

ae

      

 

TOTAL. AMOUNT THIS INUOTDE -

Ferryooat Kiamatn + Pa 8 San Francisco. Cao's $4111 « Teapnone: £18)

 

5.1200 + Cao's Lansesion

 

 

9346.00

 

S602088%07",Invoice,,
89000889.tif,"MICROBIOLOGICAL
ASSOCIATES

0.070

 

(2900 BLACKWELL RO.
ROCKVILLE, MO 20850
‘TELEPHONE: (901) 726-1000
‘TELEX 908703

 

sH1PeE0 10.

fORICLARD,REgEARCH CENTER

420, ENGL TON STREET
ARIN: (DR ODAN HECK
SrebkstoRo, Nc

PAYMENT TERMS NET 30 DAYS

PLEASE REFER To Oud voce
‘MOMBER OW ALLPAVIENTE AND

Saar

seTT140

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

TT creat FREE rT SRS era Tae
we ov won GRE) PEEP PE [a sore
‘aumerny [ou meas] PRODUCT RO” DescRIPTOH a
1 | en fee-seo | unscheouen ona syuruests ae
| 633
|
*-
HP eanaegreyen —- ok,
iI-13-8) \
1.700
Reed) i
aT | RET ea
4950.00 00 00

‘ORIGINAL INVOICE

68800068",68800068,,
50018908.tif,"ORIGINAL INVOICE
THE WILLIAMS & WILKINS COMPANY

426 E, PRESTON STREET / BALTIMORE, MARYLAND. U.s,a, 21202

 

 

 

 

 

 

Invoice No.
Publishers of Booka and Perlodcols in Modine end th Aled Sioncos
@5650
Seaceen [SE [Se 96 Sa ea a
=! PAUL S. LARSON, PH.D. 1
$ DEPT. OF PHARMACOLOGY §
5 MEDICAL COLLEGE OF VIRGINIA i
+ RICHMOND, VIRGINIA 23219 :
*L a 4
9/18/68
INVOIee BATE
QUANTITY | LigY PRIGE_] BISG_| NET PRIGE ——Bescnprion Aaa
PRINTING & BINDING 1129 COPTES OF TOBACCO;
EXPERIMENTAL AND CLINICAL STUDIES-
SUPPLEMENT 1 $30,472.31
CATALOGING, SELLING, STORING 25,600.00
AUTHOR'S ALTERATIONS eee
LESS AMOUNT BILLED & PAID = INV. #38950,
DATED 2/12/68 -12,195.59

LESS AMOUNT BILLED & PAID ~ INV. #42850,

e DATED 3/12/68 “12, 435-59

BALANCE DUE - - - ~ ~ - $41,495,637

 

 

‘TO AVOID ERROR. PLEASE WRITE OUR INVOICE NUMBER ON YOUR CHEGE

INSEGEreUstisMese” —- SETCEUOUSISER WNoeriniveuy 8.2: 7 SUNSF RAVE GEEANs ReneS RGD ROO",THE,,
0060284223.tif,"December 29, 1966
The American Tobacco Company
Richmond 24

Virginia :

Attention: br. F. S. Harlow, Assistant Managing Director ~ Research

Statement November 1 ~ November 24,"" 1966

 

 

 

91 WR 633 Professional Services
Feed & Bedding
“Total $928.45
NET
Ducoro hr i. 3 DUE AT ONCE
“ramen WIKRE

FORWARDED VIRGINIA BRANCH 1-5-7

IMPROVEMENT OF PRODUCT
GENERAL EArENOLS

prenoven LL Mata)",,,
0001233971.tif,"> pares & carom, Tw,

moat § MILLTANGOH TORNLOO oeRFORUTICH
""ZAIME PRGQUOTLOH ESTATE

ary ARH 5, WL

eres WAREREAI

PROTOGRAPIR/AREIST rd

00

ee
Hm a oe) aa ae
an, 9 30 x1 1/8
7x1

‘Ay URS TRATON
PeIvr FoR cOURREHSITE
cya anancvan (1 ce) AAD SUSTAIN)
Ae MATER (2 PACK) ""
woroucue 4. ACR)
crowning (2 PACK)
somusTEn
seewuncat. (2)

‘Errounaar

paving
eon,

query arenes,
orestats « core pms 5.00

von Tora __ 2995.00

Asse tron, foe ne
camot Asterina? CF cds _ ws.

: SALES TAK 279.55)
aan sapere aviation 2

a

Prosuetson cest,
essnst Budget fort devotee y
Part tie agit

(08088 Tora _ 601.55",,,
2080690649.tif,"INVOICE

INASE ENTRY °

IMAGING AND DATA CONVERSION SERVICES Ce a
Corporate Headquarters * 715 North Main Street —
London, Kentucky 40741
606-878-5508 « Fax 606-878-5470

00019756 10/20/99 1

 

    

<PMIOOL 5

CATTN: MARK CAVONE PHILLIP MORRIS INCORPORATED

{PHILLIP MORRIS INCORPORATED 74120 PARK AVENUE

120 PARK AVENUE NEW YORK NY 10017

JNEW YORK NY 10017 5

TorALDUE 500000.00
_ HMO-4I9 44.
Sarena ESR

11/04/89 0195 10/20/88

 

Wai AY SST

POSTAGE costs 00 EACH 1.000 1,000 texexxexexs 500000.00
EXPECTED FOR OCTOBER AND NOVEMBER
1999 FOR PO BOX# 66245

pe Merb ic phon upton pots Cs

ed on Beh exhale

 

   

690690807

 

Thank you for the opportunity to serve you!

  
 

 

+00 §00000.00 -00 00 00 500000.00
TTwoice snot pad within SO days, customer araes To pay 1.5% Inert oar math nn atom

     

STK wer 2

ae",INASE,,
00921158_00921160.tif,"BORRISTON

LABORATORIES, INC.

Bortiston Laboratories, nc
5050 Beech Place
Temple Hills, Maryland 20748,

Telephone: 301-699-3536
Telex 248638

  

ee INVOICE # HH

O fag 1150, gy B/7 4:

 

 

 

 

B05 G7 *
. ere
Septenber 24, 1982
. Uo a7- Fe
sno y+
LORTLLARD, INC. Dept 1672 *
420 English Street geet 4
Greensboro, N.C. 27405 bore, Heat. =
Attention: Dr. Harry Minnemeyer :
REFERENCE: P. 166 ere 330.2 BF
BLI REFERENCE: 22120118: a :
Invoice Now: 1414-9 ok Hipp Upemooseneg ete
Be e-e>
DESCRIPTION Ayount Dept ase
Statistical Re-evaluation of $1,610.00 beet HIN
Cardiovascular EE Barb 230:
ndé B11

for.
B-72,X6-9XB-65)an

10: 00"" per compoun ce,

© Pay 230.% 873

REMITTANCE ADDRESS:

Borriston Laboratories, Inc. © A
DYNAMAC BUILDING EP, 9590
11140 Rockville Pike AceT. HiIl

 

Rockville, Md. 20852

Attn: B. Belford
Accounting

SSTTz600

 

*e * * INVOICE # HH

‘A Subsidiary of Dynamac Intemational, Inc. .
Dee an wow. +",HH,,
2028740506_2028740507.tif,"SS6LLVA
prot gag”.

               

2028'740506
o. ;

‘=

2° 2661 DE SQURAON 1 Fe NUDUIOT:
""pow oo np og an Sopsauo

wot daases i, wom |: * Dio oro,
pt oO Rr wt nian vend",,,
2015026247.tif,"nse HAZLETON LABORATORIES, INC.

TELEPHONE
(703) 893-5400 ""9200 LEESBURG TURNPIKE @ VIENNA, VIRGINIA # 22160
INVOICE December 4, 1972

1 me tobacco Institute 7
To: Attn: Mrs. Kitty Golden
1776 K Street, N. W.
Washington, D.C. 20006

 

 

 

 

 

 

 

 

 

 

L
Charges
Project, Usk = Thru Period
Ending 2
Study to Investigate ""Chenosol"" —
Description [aetna Tol
Services: Cumulative to Date $148,061.34
Less: Previous Invoices 167,377.51
Net Amount $ 683.83 $683.83
4
x
3
&
: Ss
1s
a
_N",December,,
87104119.tif,"@HAZLETON aaa ne

LABORATORIES AMERICA, INC. (703) 893-5400
(8200 LEESBURG TURNPIKE, VIENNA. VA 22180. U5.A - °

INVOICE

rT 7
To: Lorillard Research Center

P.0. Box 21688
Greensboro, NC 27420

Attn: Dr, Connie Stone

— L J

Char

Iwoice Date_May 6, 1985 Payme Net _30 days Spares
Project __699-630/642-215 Ending

Description

 

 

Total

14 Day Single Dose Subacute Toxicity
Study

Test Material: 6180
Report Mailed: 5/2/85

TOTAL AMOUNT DUE: $ 2,050.00

+. 9590
eed. WW)

$ 2,050.00

NaS

 

 

1
6TLIBOTLS

 

 

 

 

 

 

Remit to: P.O. Box 25065, Richmond,Va. 23260",rT,,
0001144224.tif,"‘Teg Bates new york/advertising

BROWN & WILLIAMSON TOBACCO CORPORATION
Ne PRINT PRODUCTION ESTIMATE

moo. NowerasR
carnion esr e___RATR 75-38

SHENG STREAM

suexot saawcooe #

PHOTOGRAPHERIARTIST

‘Potoyoohers Fee
‘Seok Photoenhy
Puck Phaxogoy
{ine Phetoraphy

Mode Fee

ode Agency Feo

Location Scouting Fee

Property Rees Fos

Propu/Set Consrustion

arabe iyi

Wardrobe (Cites ont

Hat sev

ye Tester

fe Touehiog

Tromparecis
cvs

hovtck 1¥ Tue FILM HAGE 15 188 LEAR",,,
10398996.tif,"Adams Letter Co., Inc.

55 VANDAM STREET
NEW YORK, N. ¥. 10013,

ore MARCH 12, 1973

mrvorce wo. 7019,

YO: LEONARD ZAHN & ASSOCIATES, INC,

Pe 0, BOX 523 ov omoan no.
23 LINCOLN ROAD
GREAT NECK, N.Y. 11021 ours

‘MAILING CTR ANNUAL REPORT
893 INDIVIDUAL COPIES MAILED.
ENVELOPES ADDRESSED, BOOKS INSERTED WITH RELEASE
AND MAILED TO Ze1 THRU 7 AND CTRe1, 3, 4, 5, 12
AND 13,
800K ONLY TO CTRe2.

‘ALL ENVELOPES HAND SEALED, MAILED FIRST CLASS,

 

  

$104.00
TAX OW NY PART(S11,80) 182
POSTAGE u35.24
$540.06
su —
oi
1
1
i
1 CTR = 15
2 3-6
ye 2 ue 20
We az Be 15
ry 2-32
6-4 ase
2. we
wt REPORT onLy
NO RELEASE",,,
2063579077.tif,"hip Morns USA BUSINEOD

 

 

 

 

 

 

 

VOUCHE! PHILIP MORRIS USA
VOUCHER DATE: August 26,1997

. PLEASE READ INSTRUCTIONS

ON PAGE 2.
; PAYEE: 51 TCRC SPECIAL INSTRUCTIONS: _PLEASE MAIL CHECK

clo Janet Wheeler TO JO ALLISON BY WEDNESDAY, SEPTEMBER 3,

R. J. Reynolds Tobacco Company. 1997.

P.O. Box 1487,

Winston-Salem, NC 27102-1487

COST CENTER
EXPLANATION OF PAYMENT TO BE CHARGED S AMOUNT
Registration Fee for Daryl Faustini to attend the 51* Tobacco 050-3R3 185.00
Chemists’ Research Conference being held in Winston-Salem, A

 

    
 
   
 
     

North Carolina on September 14-17, 1997.

Tax 1D#5603 759 55

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

PREPARED BY: _Jo Allison CHECK DATE DU
LOCATION: R&D.A2___Extension: 2400 APPROVED: Kiel B2
‘FOR ACCOUNTING USE ONLY
VENDOR:
INVOICE NO. ____ GL Account AMOUNT @
INVOICE AMOUNT: 7
INVOICE DATE: 2.
ACTION: 4
P/O NBR (Q): .
DUE DATE (Q) A
CHECK DESCRIPTION (1): z
}s_ —
|e
10.
oi
ACCTG. AUDIT: 2.
‘ACCTG. APPROVAL: 13 ty
DATA ENTRY: M4
FORWARD THIS COPY To: CASH DISBURSEMENTS - [15

 

 

 

 

FINANCE CENTER.

jlo
poccope: vero = _ Afauheot : 3(97

220645890:",NO,,
89000431.tif,"‘Wasrons S000

@ HAZLETON Lasonsrones america Inc

DO LEESOURG TURNPIRE VIENWA, WA 22700, USA,

 

CLIENT COPY.

 

 

Lorillard Research Center
420 English Street
Greensboro, NC 27420

 

 

Attn: Dr. J. Daniel Heck namrr ro:
PRODECT ROMER od
699-633/642-457. Net 30 days Dr._Serota

 

 

 

 

ee

Acute ‘Toxicity Study in Rats

Test Material:
A143

Final Report mailed:: 10/14/88
HaZL 503390
TOTAL AMOUNT DUE:",,,
03663588.tif,"* eo exS¥ dz erazer = surre 1601”

{mew yor, wey."" 10017

 

 

 

 

 

 

 

 

 

 

FOUR (4) FRIEND TICKETS AT $250 BACH:
FOR DINNER =

 

FoR 'PEBRUARY 18, 1980 (APPROVED By

 

 

wm, PR, TISCH, MR. C,H. JUDGE)

 

 

 

 

 

 

 

 

 

 

 

 

 

 

(075) [eeatece an imeveroe scm) a
(pO TT emer to; neat parr. -toRstsaK0
aie ;

 

 

 

 

 

 

 

 

S88SfL99£0

I",,,
500234968+-4968.tif,"WILLIAM ESTY COMPAY™. INC.
ADVERTISING

100 EAST azed STREET @ NEW YORK, N. Y. 10017

 

este 12/31/20

Payeblo Dato 2/13/72.

 

 

Estimate
Cliont Re Je NETNCLDS TOBACOs CCHPANY —Inyoicn 4g 12705 Product #4 CBLLANEOUS
MARR TING KLSZARCH
HAD 502-2088
Cost of conducting Honadic
Cigarette vroduct Test 1,200,00
Suporvisory ixpense 180,00
Shipping 12.22
41,397.23
g
3
8
3
a a
s
8",,,
